epoch,train_loss,train_correlation_loss,train_weighted_correlation_loss,train_grad_norm,skipped_optimizer_steps,skipped_nonfinite_losses,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,full_val_dice_wt,full_val_dice_tc,full_val_dice_et,full_val_mean_dice,selection_mean_dice,lr,early_stop_counter
129,0.191721,,,0.215693,0,0,0.9305,0.9075,0.8685,0.9022,,,,,,0.001,0
130,0.195969,,,0.227718,0,0,0.9252,0.9203,0.8875,0.9110,0.9355,0.9306,0.8976,0.9212,0.9212,0.001,1
131,0.198620,,,0.238889,0,0,0.9244,0.9144,0.8829,0.9072,,,,,,0.001,1
132,0.192378,,,0.226053,0,0,0.9284,0.9215,0.8895,0.9131,,,,,,0.001,1
133,0.196154,,,0.237559,0,0,0.9267,0.9265,0.8907,0.9146,,,,,,0.001,1
134,0.186600,,,0.208272,0,0,0.9277,0.9200,0.8876,0.9118,,,,,,0.001,1
135,0.192216,,,0.236857,0,0,0.9210,0.8955,0.8828,0.8998,,,,,,0.001,1
136,0.208919,,,0.263940,0,0,0.9205,0.9072,0.8797,0.9024,,,,,,0.001,1
137,0.184313,,,0.204947,0,0,0.9265,0.9100,0.8805,0.9057,,,,,,0.001,1
138,0.185397,,,0.221654,0,0,0.9054,0.8895,0.8649,0.8866,,,,,,0.001,1
139,0.192313,,,0.228074,0,0,0.9230,0.9065,0.8865,0.9053,,,,,,0.001,1
140,0.188950,,,0.218616,0,0,0.9118,0.9186,0.8854,0.9052,0.9241,0.9273,0.8958,0.9157,0.9157,0.001,2
141,0.196022,,,0.234529,0,0,0.9157,0.9220,0.8900,0.9092,,,,,,0.001,2
142,0.182844,,,0.216167,0,0,0.9256,0.9159,0.8824,0.9080,,,,,,0.001,2
143,0.192913,,,0.219425,0,0,0.9242,0.9083,0.8858,0.9061,,,,,,0.001,2
144,0.197810,,,0.234830,0,0,0.9119,0.9064,0.8733,0.8972,,,,,,0.001,2
145,0.221851,,,0.281971,0,0,0.9170,0.9062,0.8733,0.8988,,,,,,0.001,2
146,0.206090,,,0.241835,0,0,0.9297,0.9141,0.8842,0.9093,,,,,,0.001,2
147,0.195201,,,0.201852,0,0,0.9264,0.9258,0.8888,0.9136,,,,,,0.001,2
148,0.188102,,,0.237853,0,0,0.9241,0.9223,0.8882,0.9115,,,,,,0.001,2
149,0.195040,,,0.213876,0,0,0.9280,0.9170,0.8855,0.9102,,,,,,0.001,2
150,0.180560,,,0.188093,0,0,0.9283,0.9267,0.8964,0.9172,0.9394,0.9334,0.9044,0.9257,0.9257,0.001,3
151,0.196792,,,0.255340,0,0,0.9135,0.8886,0.8740,0.8920,,,,,,0.001,3
152,0.193773,,,0.240723,0,0,0.9285,0.9174,0.8792,0.9083,,,,,,0.001,3
153,0.199263,,,0.217086,0,0,0.9253,0.9185,0.8847,0.9095,,,,,,0.001,3
154,0.184788,,,0.194134,0,0,0.9277,0.9170,0.8889,0.9112,,,,,,0.001,3
155,0.194827,,,0.211395,0,0,0.9297,0.9247,0.8900,0.9148,,,,,,0.001,3
156,0.184302,,,0.205474,0,0,0.9215,0.9215,0.8873,0.9101,,,,,,0.001,3
157,0.188670,,,0.222615,0,0,0.9268,0.9110,0.8832,0.9070,,,,,,0.001,3
158,0.197400,,,0.214423,0,0,0.9226,0.9239,0.8873,0.9113,,,,,,0.001,3
159,0.192263,,,0.210902,0,0,0.9147,0.9106,0.8832,0.9028,,,,,,0.001,3
160,0.189933,,,0.211868,0,0,0.9237,0.9204,0.8862,0.9101,0.9350,0.9358,0.9041,0.9250,0.9250,0.001,4
161,0.180191,,,0.201704,0,0,0.9265,0.9271,0.8928,0.9155,,,,,,0.001,4
162,0.203960,,,0.258435,0,0,0.9141,0.9009,0.8721,0.8957,,,,,,0.001,4
163,0.192435,,,0.233448,0,0,0.9223,0.9194,0.8855,0.9091,,,,,,0.001,4
164,0.196288,,,0.238938,0,0,0.9112,0.9043,0.8740,0.8965,,,,,,0.001,4
165,0.195085,,,0.228541,0,0,0.9284,0.9188,0.8901,0.9124,,,,,,0.001,4
166,0.189468,,,0.201057,0,0,0.9159,0.9192,0.8869,0.9073,,,,,,0.001,4
167,0.196228,,,0.208406,0,0,0.9222,0.9125,0.8813,0.9053,,,,,,0.001,4
168,0.183126,,,0.197258,0,0,0.9273,0.9158,0.8852,0.9094,,,,,,0.001,4
169,0.189778,,,0.231852,0,0,0.9130,0.9107,0.8787,0.9008,,,,,,0.001,4
170,0.188425,,,0.217744,0,0,0.9162,0.9114,0.8855,0.9044,0.9275,0.9166,0.8965,0.9135,0.9135,0.001,5
171,0.184759,,,0.188196,0,0,0.9271,0.9106,0.8773,0.9050,,,,,,0.001,5
172,0.188303,,,0.228587,0,0,0.9113,0.9004,0.8681,0.8933,,,,,,0.001,5
