epoch,train_loss,train_correlation_loss,train_weighted_correlation_loss,train_grad_norm,skipped_optimizer_steps,skipped_nonfinite_losses,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,full_val_dice_wt,full_val_dice_tc,full_val_dice_et,full_val_mean_dice,selection_mean_dice,lr,early_stop_counter
88,0.190460,,,0.249954,0,0,0.9302,0.9218,0.8886,0.9135,,,,,,0.001,0
89,0.188196,,,0.243303,0,0,0.9267,0.9160,0.8836,0.9087,,,,,,0.001,0
90,0.197001,,,0.298335,0,0,0.9282,0.9149,0.8824,0.9085,0.9327,0.9257,0.8969,0.9184,0.9184,0.001,1
91,0.190286,,,0.271549,0,0,0.9258,0.9240,0.8915,0.9138,,,,,,0.001,1
92,0.196104,,,0.270744,0,0,0.9277,0.9118,0.8790,0.9062,,,,,,0.001,1
93,0.187188,,,0.243993,0,0,0.9324,0.9149,0.8825,0.9099,,,,,,0.001,1
94,0.198767,,,0.284803,0,0,0.9211,0.9065,0.8809,0.9028,,,,,,0.001,1
95,0.190640,,,0.263483,0,0,0.9263,0.9282,0.8924,0.9156,,,,,,0.001,1
96,0.190906,,,0.241245,0,0,0.9356,0.9099,0.8763,0.9073,,,,,,0.001,1
97,0.181471,,,0.218800,0,0,0.9341,0.9255,0.8921,0.9172,,,,,,0.001,1
98,0.192539,,,0.287341,0,0,0.9117,0.9061,0.8759,0.8979,,,,,,0.001,1
99,0.194765,,,0.266310,0,0,0.9326,0.9169,0.8830,0.9108,,,,,,0.001,1
100,0.190010,,,0.263107,0,0,0.9317,0.9219,0.8859,0.9132,0.9206,0.9242,0.8950,0.9133,0.9133,0.001,2
101,0.194102,,,0.261283,0,0,0.9320,0.9179,0.8845,0.9114,,,,,,0.001,2
102,0.203653,,,0.317729,0,0,0.9300,0.9182,0.8891,0.9124,,,,,,0.001,2
103,0.177521,,,0.237774,0,0,0.9262,0.9231,0.8909,0.9134,,,,,,0.001,2
104,0.186003,,,0.218806,0,0,0.9310,0.9166,0.8830,0.9102,,,,,,0.001,2
105,0.200903,,,0.305584,0,0,0.9266,0.9099,0.8799,0.9055,,,,,,0.001,2
106,0.180131,,,0.214332,0,0,0.9263,0.9174,0.8847,0.9095,,,,,,0.001,2
107,0.177330,,,0.217597,0,0,0.9305,0.9225,0.8886,0.9139,,,,,,0.001,2
108,0.190027,,,0.234820,0,0,0.9159,0.9217,0.8870,0.9082,,,,,,0.001,2
109,0.200389,,,0.298284,0,0,0.9263,0.9233,0.8906,0.9134,,,,,,0.001,2
110,0.201593,,,0.268699,0,0,0.9335,0.9233,0.8908,0.9159,0.9300,0.9303,0.9000,0.9201,0.9201,0.001,3
111,0.182460,,,0.229101,0,0,0.9313,0.9201,0.8920,0.9144,,,,,,0.001,3
112,0.182125,,,0.234607,0,0,0.9330,0.9236,0.8917,0.9161,,,,,,0.001,3
113,0.208224,,,0.287313,0,0,0.9295,0.9188,0.8839,0.9108,,,,,,0.001,3
114,0.191666,,,0.256057,0,0,0.9258,0.9171,0.8824,0.9084,,,,,,0.001,3
115,0.187482,,,0.237549,0,0,0.9220,0.9145,0.8808,0.9058,,,,,,0.001,3
116,0.176449,,,0.195469,0,0,0.9067,0.8923,0.8661,0.8884,,,,,,0.001,3
117,0.190255,,,0.239464,0,0,0.9337,0.9201,0.8877,0.9138,,,,,,0.001,3
118,0.188458,,,0.228285,0,0,0.9259,0.9212,0.8918,0.9130,,,,,,0.001,3
119,0.178083,,,0.225309,0,0,0.9333,0.9208,0.8875,0.9139,,,,,,0.001,3
120,0.177367,,,0.217449,0,0,0.9334,0.9209,0.8882,0.9142,0.9372,0.9286,0.9035,0.9231,0.9231,0.0005,4
121,0.175559,,,0.212547,0,0,0.9347,0.9176,0.8897,0.9140,,,,,,0.0005,4
122,0.177470,,,0.195505,0,0,0.9365,0.9186,0.8875,0.9142,,,,,,0.0005,4
123,0.171542,,,0.253576,0,0,0.9334,0.9252,0.8933,0.9173,,,,,,0.0005,4
124,0.185430,,,0.232842,0,0,0.9318,0.9064,0.8786,0.9056,,,,,,0.0005,4
125,0.179606,,,0.251280,0,0,0.9340,0.9253,0.8942,0.9179,,,,,,0.0005,4
126,0.169927,,,0.230041,0,0,0.9331,0.9273,0.8931,0.9178,,,,,,0.0005,4
127,0.162743,,,0.212574,0,0,0.9374,0.9233,0.8909,0.9172,,,,,,0.0005,4
128,0.169392,,,0.204623,0,0,0.9362,0.9193,0.8882,0.9146,,,,,,0.0005,4
129,0.172570,,,0.209573,0,0,0.9384,0.9216,0.8908,0.9169,,,,,,0.0005,4
130,0.175608,,,0.223169,0,0,0.9357,0.9176,0.8916,0.9150,0.9391,0.9274,0.9046,0.9237,0.9237,0.0005,5
131,0.169215,,,0.210708,0,0,0.9362,0.9241,0.8930,0.9178,,,,,,0.0005,5
132,0.173033,,,0.233412,0,0,0.9338,0.9214,0.8889,0.9147,,,,,,0.0005,5
133,0.174079,,,0.232170,0,0,0.9349,0.9270,0.8916,0.9179,,,,,,0.0005,5
134,0.167741,,,0.220737,0,0,0.9314,0.9263,0.8931,0.9169,,,,,,0.0005,5
135,0.166328,,,0.198501,0,0,0.9387,0.9176,0.8899,0.9154,,,,,,0.0005,5
136,0.176369,,,0.259878,0,0,0.9337,0.9246,0.8945,0.9176,,,,,,0.0005,5
137,0.166520,,,0.203211,0,0,0.9369,0.9252,0.8937,0.9186,,,,,,0.0005,5
138,0.170340,,,0.249224,0,0,0.9328,0.9016,0.8796,0.9047,,,,,,0.0005,5
139,0.168112,,,0.230377,0,0,0.9382,0.9251,0.8950,0.9194,,,,,,0.0005,5
140,0.166591,,,0.224850,0,0,0.9325,0.9215,0.8897,0.9146,0.9347,0.9249,0.8995,0.9197,0.9197,0.0005,6
141,0.167789,,,0.250346,0,0,0.9331,0.9265,0.8957,0.9184,,,,,,0.0005,6
142,0.160671,,,0.194953,0,0,0.9358,0.9213,0.8912,0.9161,,,,,,0.0005,6
143,0.166097,,,0.216376,0,0,0.9377,0.9248,0.8924,0.9183,,,,,,0.0005,6
144,0.172346,,,0.226490,0,0,0.9376,0.9282,0.8955,0.9204,,,,,,0.0005,6
145,0.186545,,,0.263669,0,0,0.9406,0.9182,0.8869,0.9152,,,,,,0.0005,6
146,0.175669,,,0.272699,0,0,0.9369,0.9258,0.8947,0.9191,,,,,,0.0005,6
147,0.177594,,,0.244663,0,0,0.9360,0.9283,0.8965,0.9203,,,,,,0.0005,6
148,0.163933,,,0.243237,0,0,0.9266,0.9145,0.8826,0.9079,,,,,,0.0005,6
149,0.175496,,,0.241236,0,0,0.9362,0.9110,0.8935,0.9136,,,,,,0.0005,6
150,0.166258,,,0.221169,0,0,0.9394,0.9210,0.8944,0.9182,0.9392,0.9241,0.9026,0.9220,0.9220,0.0005,7
